country,counterpart-area,series,time,value,series_code
China,Japan,"PPG, bilateral (AMT, current US$)",2022,111873325.4,DT.AMT.BLAT.CD
China,Kuwait,"PPG, bilateral (AMT, current US$)",2022,17943934.7,DT.AMT.BLAT.CD
China,Multiple Lenders,"PPG, bilateral (AMT, current US$)",2022,884229909.1,DT.AMT.BLAT.CD
China,Netherlands,"PPG, bilateral (AMT, current US$)",2022,359579.9,DT.AMT.BLAT.CD
China,Spain,"PPG, bilateral (AMT, current US$)",2022,2567502.2,DT.AMT.BLAT.CD
China,World,"PPG, bilateral (AMT, current US$)",2022,1134484207.4,DT.AMT.BLAT.CD
Colombia,Brazil,"PPG, bilateral (AMT, current US$)",2022,6023513.5,DT.AMT.BLAT.CD
Colombia,France,"PPG, bilateral (AMT, current US$)",2022,253904311.3,DT.AMT.BLAT.CD
Colombia,"Germany, Fed.Rep. Of","PPG, bilateral (AMT, current US$)",2022,80502365.6,DT.AMT.BLAT.CD
Colombia,Japan,"PPG, bilateral (AMT, current US$)",2022,13333400.0,DT.AMT.BLAT.CD
Colombia,"Korea, Republic Of","PPG, bilateral (AMT, current US$)",2022,1000000.0,DT.AMT.BLAT.CD
Colombia,Spain,"PPG, bilateral (AMT, current US$)",2022,3844678.6,DT.AMT.BLAT.CD
Colombia,United States,"PPG, bilateral (AMT, current US$)",2022,211982657.1,DT.AMT.BLAT.CD
Colombia,World,"PPG, bilateral (AMT, current US$)",2022,570590926.1,DT.AMT.BLAT.CD
Comoros,China,"PPG, bilateral (AMT, current US$)",2022,1576257.9,DT.AMT.BLAT.CD
Comoros,France,"PPG, bilateral (AMT, current US$)",2022,809640.6,DT.AMT.BLAT.CD
Comoros,India,"PPG, bilateral (AMT, current US$)",2022,44444.4,DT.AMT.BLAT.CD
Comoros,Kuwait,"PPG, bilateral (AMT, current US$)",2022,20860.8,DT.AMT.BLAT.CD
Comoros,Saudi Arabia,"PPG, bilateral (AMT, current US$)",2022,7100259.9,DT.AMT.BLAT.CD
Comoros,World,"PPG, bilateral (AMT, current US$)",2022,9551463.6,DT.AMT.BLAT.CD
"Congo, Dem. Rep.",China,"PPG, bilateral (AMT, current US$)",2022,140612893.6,DT.AMT.BLAT.CD
"Congo, Dem. Rep.",France,"PPG, bilateral (AMT, current US$)",2022,2215324.5,DT.AMT.BLAT.CD
"Congo, Dem. Rep.",India,"PPG, bilateral (AMT, current US$)",2022,32587395.7,DT.AMT.BLAT.CD
"Congo, Dem. Rep.",Kuwait,"PPG, bilateral (AMT, current US$)",2022,620224.0,DT.AMT.BLAT.CD
"Congo, Dem. Rep.",Multiple Lenders,"PPG, bilateral (AMT, current US$)",2022,0.0,DT.AMT.BLAT.CD
"Congo, Dem. Rep.",Saudi Arabia,"PPG, bilateral (AMT, current US$)",2022,933777.8,DT.AMT.BLAT.CD
"Congo, Dem. Rep.",World,"PPG, bilateral (AMT, current US$)",2022,176969615.6,DT.AMT.BLAT.CD
"Congo, Rep.",Belgium,"PPG, bilateral (AMT, current US$)",2022,16665617.1,DT.AMT.BLAT.CD
"Congo, Rep.",China,"PPG, bilateral (AMT, current US$)",2022,179788094.6,DT.AMT.BLAT.CD
"Congo, Rep.",France,"PPG, bilateral (AMT, current US$)",2022,26082501.4,DT.AMT.BLAT.CD
"Congo, Rep.",India,"PPG, bilateral (AMT, current US$)",2022,15409175.8,DT.AMT.BLAT.CD
"Congo, Rep.",Kuwait,"PPG, bilateral (AMT, current US$)",2022,43917.4,DT.AMT.BLAT.CD
"Congo, Rep.",Multiple Lenders,"PPG, bilateral (AMT, current US$)",2022,5423300.0,DT.AMT.BLAT.CD
"Congo, Rep.",Russian Federation,"PPG, bilateral (AMT, current US$)",2022,7200000.0,DT.AMT.BLAT.CD
"Congo, Rep.",Saudi Arabia,"PPG, bilateral (AMT, current US$)",2022,0.0,DT.AMT.BLAT.CD
"Congo, Rep.",Turkey,"PPG, bilateral (AMT, current US$)",2022,8184757.0,DT.AMT.BLAT.CD
"Congo, Rep.",World,"PPG, bilateral (AMT, current US$)",2022,258797363.3,DT.AMT.BLAT.CD
Costa Rica,Brazil,"PPG, bilateral (AMT, current US$)",2022,2967153.9,DT.AMT.BLAT.CD
Costa Rica,China,"PPG, bilateral (AMT, current US$)",2022,6199961.6,DT.AMT.BLAT.CD
Costa Rica,"Germany, Fed.Rep. Of","PPG, bilateral (AMT, current US$)",2022,2238926.7,DT.AMT.BLAT.CD
